Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release,Description
"Farewell, My Dear Cramer",3.12 Mediocre,LIDEN FILMS Inc.,Manga,Ganbatte,~24min,TV-Series,13,2021,"“Farewell, My Dear Cramer” is the adaption of the manga of the same name by Naoshi Arakawa and revolves around the everyday football life of two schoolgirls and their team.  Sumire Suou is a talented football player. However, many of her team members in the school’s football club cannot match her in the slightest. Therefore, they have not been able to achieve any notable successes so far. Midori Soshizaki, another good player and Sumires rival, suggests to transfer to the same high school after finishing middle school. Then, the two girls will be able to play together, and Sumire will no longer be alone. Will Sumire accept this offer?"
Pandora in the Crimson Shell: Ghost Urn,3.11 Mediocre,"AXsiZ Co., Ltd., Studio Gokumi",Manga,Action Comedy,~25min,TV-Series,12,2016,"In an age when large-scale natural disasters frequently happen all over the world, when cyborgs and autonomous robots are beginning to appear on the market in technologically advanced nations, and major world powers compete for technology and resources, the divide between rich and poor grows and the future for the poor looks bleak. In this transitional stage, everyone wanders around in a self-indulgent daze and the way out isn’t clear… This is the story of how two cybernetically enhanced girls meet."
Canvas 2: Niji Iro no Sketch,3.10 Mediocre,ZEXCS Inc.,Visual Novel,Romance,~24min,TV-Series,24,2005,"Hiroki Kamikura is a talented painter who has, however, already given up painting. He decided to become an art teacher at the prestigious Nadeshiko Academy. There, he also meets his childhood friend Kiri Kikyou again, who had once made an unfruitful love proposal to him. Elis Housen, his cousin, also goes to this school. Her parents died in a car accident, and because of this trauma, she has a strong aversion to the colour red. Will Hiroki manage to overcome his art blockade and become a successful painter again? Will Elis overcome her trauma and be able to use the colour red again? And who will win Hiroki’s heart in the end – Kiri or Elis?"
Nanatsuiro Drops,3.10 Mediocre,diomedéa inc.,Visual Novel,Romance,~25min,TV-Series,12,2007,"Tsuwabuki is a normal student, though not very social. One day he meets a new transfer student, named Sumomo Akihime, and another girl, both the only members of the gardening club. Tsuwabuki is forced by a teacher to join this club. But then he bumps into a strange guy with dog ears, switching his drink with they guy’s by mistake. Drinking it, he is turned in a stuffed animal. The teacher tells him that the only way to turn back to normal is to find the chosen girl and let her catch the seven stardrops. This girl is Sumomo, who agrees to help him, though she’s not allowed to know the animal’s true identity."
Hayate the Combat Butler: Cuties,3.11 Mediocre,manglobe Inc.,Manga,Romantic Comedy,~24min,TV-Series,12,2013,
Wish upon the Pleiades,3.10 Mediocre,"Gainax Co., Ltd.",Original Work,Romantic Comedy,~24min,TV-Series,12,2015,"When young student Subaru goes to watch the stars on the roof of her school late at night, she encounters a mysterious gooey being that takes her compass and that she believes is a ghost. In her search for it, she ends up in the middle of a club room full of magical girls who impress her greatly, including her best friend. Aoi. She discovers that the supposed ghost is actually an alien Pleiadian who the girls want to help return to his home planet. A mission she is happy to help with. To do this, all they have to do is collect the crystallised star-shaped shards scattered all over the world by accident and behind which the little creature’s spaceship is hidden. But the shards also hold enormous powers that should not fall into the wrong hands …"
Atom: The Beginning,3.12 Mediocre,"OLM, Inc., Production I.G., Inc., SIGNAL.MD, Inc.",Manga,Action Comedy,~25min,TV-Series,12,2017,
"So, I Can’t Play H!",3.09 Mediocre,feel.,Light Novel,Romantic Comedy,~24min,TV-Series,12,2012,"Ryosuke Kaga is an ecchi high school boy attending Momozomo Academy. One day, he meets a girl standing alone in the rain. She is Lisara Restor, an elite Grim Reaper, who visited the human world in order to find The Singular Man. Ryosuke makes a contract with Lisara and she sucks energy required for her activity in the human world from Ryosuke. The source of the energy is his perverted spirit. To recover the sexual desire, Ryosuke has no choice but to help Lisara’s search."
Samurai Girls,3.09 Mediocre,Arms,Light Novel,Action Comedy,~24min,TV-Series,12,2010,"Muneakira Yagyuu is a gifted student of the samurai way, but until he arrived at his dojo, he never knew just how gifted he truly was. There, beautiful girl Juubee falls naked from the sky and right into his arms, and when they kiss, he magically transforms her into a powerful master samurai. So, naturally, every beautiful girl at the dojo can’t wait to kiss him now! And some, like the sexy Gisen, want to do even more … It’s a tale of power and lust, filled with beautiful, scantily clad swordfighters who will do anything to please their master and attain even greater power!"
Phantasy Star Online 2: The Animation,3.09 Mediocre,"Telecom Animation Film Co., Ltd.",Video Game,Action,~24min,TV-Series,12,2016,"In 2027, the new video game “Phantasy Star Online 2” appears on the market and starts a trend at Seiga Academy. At the boarding school for boys and girls, every student seems to be talking about nothing else – everyone except for student Itsuki Tachibana, who shows no interest in video games whatsoever.  One day during the second semester, he is suddenly asked to come to the counselling room by the highly esteemed student council president Rina Izumi, who has had her eye on him for some time. However, he cannot yet guess what will await him there …"
The Knight in the Area,3.09 Mediocre,"Shin-ei Animation Co., Ltd.",Manga,Ganbatte,~25min,TV-Series,37,2012,"Believing himself to be useless at soccer, Aizawa Kakeru instead becomes the manager of his school’s soccer team, while his brother Suguru is its ace, and is even good enough to represent Japan in the championships. However, Kakeru may have a yet unknown strong talent within himself that only his brother Suguru can see, and they often get into arguments over Kakeru’s denial of his skills. Things are made more complicated with the return of Nana, an old friend of theirs that Kakeru has a crush on."
Magical Girl Ore,3.11 Mediocre,"St.Signpost.CO.,Ltd.",Manga,Comedy,~24min,TV-Series,12,2018,"15-year-old girl Saki Uno is new to the world of idols, but she finds out that her best friend’s brother, Sakuyo Mikage, is a famous idol and falls in love with him without further ado. But her life takes a big turn when she learns from a Yakuza man that her mother used to be a Magical Girl. When the love of her life is kidnapped by demons who look like men with cute squirrel heads, she decides to join forces with the Yakuza and become a Magical Girl like her mother – but with a catch: Saki turns into a handsome guy in a girl’s outfit, and to make matters worse, her crush finds her attractive in her male form!  But that’s not all because she also finds out that her best friend is in love with her and has also entered into a contract with the Yakuza so that she can support Saki … What else will happen to the two friends?"
Pretty Rhythm: Aurora Dream,3.12 Mediocre,"Tatsunoko Production Co., Ltd.",Video Game,Ganbatte,~20min,TV-Series,51,2011,"Prism Stars are well-known idols who appear in the Prism Show wearing Prism jewellery and perform as figure skaters. This is a completely new type of figure skating that also calls for talented singers and models. Aira and Rhythm are two girls who dream of becoming the Prism Queen. But before that, they have to overcome their weaknesses, settle disputes between themselves and get a grip on their keen interest in boys. Can they perform unprecedented leaps and tricks to achieve their dream one day?"
Super HxEros,3.09 Mediocre,project No.9,Manga,Romantic Comedy,~24min,TV-Series,12,2020,"In “Super HxEros”, the world is on the brink of disaster after an invasion by libido-consuming monsters called Kiseichuu. The Kiseichuu rob their victims of their erotic power and thus their will to live. But brave heroes resist the monsters with the help of a device that allows them to fight against them with the power of ecchi and eroticism. One day, childhood friends Retto Enjou and Kirara Hoshino defeat one of these monsters, which feeds on people’s sexual energy for further development. Retto and Kirara then decide to join the organisation HxEros, which is dedicated to fight against the Kiseichuu. Together with four pretty schoolgirls, Retto thus takes up the fight against the monster invasion."
Fate/Extra: Last Encore - Oblitus Copernican Theory,3.09 Mediocre,SHAFT Inc.,Video Game,Action Drama,~24min,TV-Series,10,2018,"Emptiness … nothing but silence and darkness – this is all Hakuno Kishinami can find inside his memory after waking up in a strange, virtual world. Without a single memory of the past, he is stuck in a fight for survival whose winner is promised an invaluable prize: the holy grail. The grail, or so it is said, can fulfil the owner’s every wish, and thus, Hakuno, together with a mysterious Servant, has to fight off both friend and fiend. However, Hakuno is lured not only by the grail but the answer to the most important question: “who am I?”."
Yes! Precure 5 Go Go!,3.16 Mediocre,"Toei Animation Co., Ltd.",Original Work,Action,~25min,TV-Series,48,2008,"The Cure Rose Garden has always been hidden from the human eye. Flora, the guardian of the realm, ensures that the hidden path to the secret area is not discovered. But now the art organisation Eternal, known for collecting treasures and artworks from many worlds, is trying to get into the garden. Therefore, they first infiltrate the Palmier Kingdom and four other kingdoms. Flora notices the approaching danger and sends a message to Nozomi and the Pretty Cure 5. Their new mission is to find the four rulers who have fled their kingdoms, as they hold the keys to the Cure Rose Garden."
Blue Orchestra,3.16 Mediocre,"Nippon Animation Co., Ltd.",Manga,Drama,~25min,TV-Series,24,2023,"Four threads create a sound that enchants Hajime Aono, captivates him and holds him to himself. From a young age, he loved the violin and was determined to become as good as his father. He spent years of his childhood playing the violin. But everything changed one day when his parents divorced. It has now been over a year since Hajime’s father left him and his mother – and he hasn’t touched the violin once since.  Hajime is now a final-year middle school student and has to prepare for his high school entrance exams. However, because he has devoted his life only to music so far, he does not know what he wants to be in the future. While he is good at music, he is rather mediocre to bad at other things – especially sports are not for him! One day, he gets a ball smashed into his face while playing basketball and has to go to the school nurse, where he meets the hot-headed beginner violinist Akine Ritsuko. His sports teacher finally proposes a deal to him: if he helps Akine learn the violin so that he can enrol in a high school with a prestigious orchestra club, he will overlook Hajime’s poor sports grades.  Gradually, Hajime and Akine grow closer and become friends. And while Hajime helps his new friend to improve his violin playing, Akine brings him back into the world of music and violin playing! Little by little, Hajime learns to love the violin again …"
Star Blazers: The Comet Empire,3.20 Mediocre,Tokyo Video,Original Work,Adventure,~25min,TV-Series,26,1978,"It has been two years since the conflict between Earth and Gatlantis ended. After the return of the Yamato to Earth, the remnants of radioactivity were removed, followed by a considerable build-up of military resources to be prepared for future threats. A highlight of the developments is the new flagship of the Earth Defense Fleet, the Andromeda, whose firepower dwarfs even that of the Yamato. The Yamato, however, has been decommissioned, and the crew members are now pursuing quieter occupations.  But peace does not last forever: when the mysterious Teresa from the planet Telezart sends a distress signal to Earth to warn it of the threat posed by the White Comet Empire, the old crew of the Yamato sets off with their ship without heeding any orders. The warning is justified: an ominous white comet is already setting course for Earth and is, in fact, a giant warship destroying everything in its path. Earth’s forces soon become embroiled in a brutal and losing battle against the White Comet Empire, in which the Yamato’s crew also tries to intervene; in the process, they must also contend with the retaliatory desires of an enemy believed dead …"
Sorcerous Stabber Orphen: Chaos in Urbanrama,3.15 Mediocre,"Studio DEEN Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2023,
C³,3.08 Mediocre,SILVER LINK.,Light Novel,Romantic Comedy,~24min,TV-Series,12,2011,"Haruaki Yachi is a high school boy and naturally resistant to curses. His father, Honatsu, sends him cursed instruments called ""Worse"" to try to break this. One day, Haruaki receives a black cube from Honatsu. During the night, he encounters a naked silver-haired girl stealing rice crackers. She is the human form of the black cube, an instrument of torture called ""Fear in Cube"". Haruaki and the girl ""Fear"" fight together against other Worse instruments and their owners using Fear’s 32 mechanisms of torture."
Alps no Shoujo Heidi? Chara Onji,3.67 Excellent,,,Comedy,~?min,TV-Series,115,2016,
Teppen!!!!!!!!!!!!!!! Laughing ’til You Cry,3.14 Mediocre,Drive Inc.,Manga,Comedy,~24min,TV-Series,12,2022,"Yayoi Sakamoto and Yomogi Takahashi realised early on that they had a special love for comedy acts of all kinds. They even formed their own comedy duo, “Konamonzu”, as children but then lost track of each other. It was only at a later time when Yayoi was accepted at Kazuki High School in Nanba, which is famous for the fact that many comedians start their careers here, that they met again. Since they still get along well, they decide to take part in a local competition to show off their skills. But during rehearsals in the park, something unexpected happens that upsets their plans."
Majestic Prince,3.10 Mediocre,Doga Kobo,Manga,Action,~24min,TV-Series,24,2013,"In the latter half of 21st century, humans leave the Earth and begin to live in space. In order to adapt to the environment in space and deal with the hostile aliens in Jupiter, genetically engineered children called ""Princes"" are artificially raised and trained to be pilots of armed robots ""AHSMB (Advanced High Standard Multipurpose Battle Device). This is a story about one of the teenage ""Princes"", Hitachi O Izuru, who studies in an academic city Grandzehle."
Teekyu 9,3.17 Mediocre,"Millepensee Co., Ltd.",Manga,Nonsense-Comedy,~2min,TV-Series,12,2017,
Yurei Deco,3.19 Mediocre,Science SARU Inc.,,Supernatural Drama,~24min,TV-Series,12,2022,"On Tom Sawyer Island, any information networks are strictly controlled. With the special device Decoration Customizer, called DECO, the residents can move between the real and the virtual world. To improve their social standing, they have to collect points, and violence is completely rejected by this peaceful society.  One day, the girl Berry happens to meet Hack from the Ghost Detectives Club. The members of the club have lost their points for social advancement and have become so-called “Yurei”, which allows them to move invisibly in the virtual world. Now they try to uncover the secrets of the island. In the process, they learn about a mysterious being called Phantom Zero, who lives underground and supposedly deletes the residents’ points."
In Search of the Lost Future: À la recherche du futur perdu,3.09 Mediocre,feel.,Visual Novel,Romantic Drama,~24min,TV-Series,12,2014,"The Astronomy Club of the protagonist Sou Akiyama is filled with the big names on campus. Just before the festival on October 1, the club receives a request from the student executive committee to calm the uneasiness among the students. There are reports of ghost sightings, accidents, sleeping sickness, and other mysterious incidents at the old building. When Yui Furukawa, a quiet girl who transferred late into the school, appears before Sou, the gears of fate slowly begin to move."
All Out!,3.10 Mediocre,"MADHOUSE Inc., TMS Entertainment Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,25,2016,"Kenji Gion is a small and grumpy first-year high school student. He is not exactly happy with his body and hopes to grow some more soon to keep up with the bigger students. When he watches a match of the rugby team together with Sumiaki Iwashimizu after the entrance ceremony, he realises that size is not the only thing that counts in this sport and that there are also positions where his small stature offers an advantage. After all, in rugby, you are always a star with the ball in your hand, no matter how you look. Kenji, therefore, joins the team without further ado, and the team sets itself no less a goal than winning the national championship during the hard training that follows."
Witch Hunter Robin,3.08 Mediocre,SUNRISE Inc.,Original Work,Crime Fiction,~24min,TV-Series,26,2002,"Although they have been considered forgotten for centuries, certain circumstances cause the witches’ activities to increase. To prevent a disaster, a group of hunters, the STN-J, enters the scene at the last minute to fight the witches. They belong to the Solomons Witch Managment Organization, STN for short, which has always registered and trapped the witches and also controls governments and police forces all over the world.  But when a member of the STN-J dies, the mission threatens to fail. As a replacement and last hope, Robin Sena, a fifteen-year-old Craft user, is sent to Tokyo. But how is a young girl supposed to help the group to victory?"
Cyborg 009: The Cyborg Soldier,3.25 Excellent,Vistec Entertainment Ltd.,Manga,Adventure,~24min,TV-Series,50,2001,"It is the story of nine ordinary people kidnapped by an evil organisation called “Black Ghost”. They perform experiments on the people, which turn them into human cyborgs with supernatural powers. Together, the nine people with their new powers must fight for their freedom and try to stop the organisation that plans to start the next world war."
Seiren,3.08 Mediocre,"AXsiZ Co., Ltd., Studio Gokumi",Original Work,Romantic Comedy,~24min,TV-Series,12,2017,
Brigadoon,3.14 Mediocre,SUNRISE Inc.,Original Work,Action,~25min,TV-Series,26,2000,"“Brigadoon” is about the young girl Marin Asagi, whose life isn’t exactly easygoing: her grades are average at best, her eyesight even worse; moreover, she is often the target of vulgarities because her parents have passed away, and she lives with her destitute neighbours. Marin would be quite lonely if she didn’t have her close friend Moe Kisaragi. Nevertheless, she is always cheerful and keeps her chin up.  One day, when Marin visits a shrine to make a series of wishes, she finds a strange stone by chance. Although she has no use for it, she takes it with her anyway. This soon proves to be a lucky coincidence: just when she is being bullied again, a strange formation appears in the sky. A little later, Marin is attacked by sinister robotic creatures. When she throws the stone in desperation, another robot appears: Melan Blue – and he protects her! But the danger is far from over, for Marin seems to have been deliberately targeted. So now Marin and Melan Blue live together and, in addition to everyday challenges, must also solve the riddle of the strange world in the sky, whose effect on the planet could be more than just a nuisance …"
BPS: Battle Programmer Shirase,3.08 Mediocre,"Anime International Co., Inc.",Original Work,Comedy,~12min,TV-Series,15,2003,"“01110000 01101111 01110010 01101110 01101111 01110011 00100000 00100110 00100000 01100011 01101111 0 1101101 01110000 01110101 01110100 01100101 01110010” – this is the world of Akira Shirase. A brilliant hacker who operates under the alias “Battle Programmer Shirase” and occasionally even supports the Japanese Ministry of Defence, sometimes to save Japan from chaos. It all starts with a package that is sent to Mr Rintarou Oze by mistake. Just a few days later, a representative from Abin Electronics enters an inconspicuous Chinese restaurant in Tokyo.  Sitting at the other end of the counter is the man who holds the solution to the company’s problem in his hands: the legendary BPS. Sweat beads on the representative’s forehead, because rumours about this hacker’s ruthless cold-heartedness have already spread – he is said to be one of the most feared men in the computer age. But can you rely on rumours?"
Tokimeki Memorial: Only Love,3.08 Mediocre,"Anime International Co., Inc.",Video Game,Romantic Comedy,~24min,TV-Series,25,2006,"Aoba Riku has not had an easy life at school so far: because of his father’s work, he has already had to change schools over a dozen times. He plans that life at his new school will be normal. An ordinary school life without extraordinary events or constant changes of school. At least, that’s what he thought.  But his new school has a motto: freedom. The students enjoy more freedom than in other schools. The student council, in particular, takes advantage of this. On the very first day, Aoba becomes the victim of a student council event. And not only that: he also falls in love with the school beauty Amamiya! And from then on, unusual and nerve-wracking events seem to pile up for Aoba. Every day means a new adventure. So much for his “normal” school life …"
Captain Earth,3.09 Mediocre,BONES Inc.,Original Work,Action Drama,~23min,TV-Series,25,2014,"Years ago, 17-year-old Daichi Manatsu lost his father in a tragic space accident. As a result, he left his remote home, where the Tanegashima Space Center was also built, for a long time. After seeing a rainbow formation on television at the beginning of the summer holiday, which has formed on that island, he returns there and witnesses the attack of the so-called “Kill-T-Gang”, hostile inhabitants from the planet Uranus. Strange people are also gathered at the scene, and someone asks him if he is the captain of the Earth Engine Impactor. Although he gets his experience only from video games, he turns out to be a perfect pilot for the newfangled mecha and, therefore, is drawn headlong into the battle between the planets. Can he and his new comrades fend off the invaders with this powerful machine?"
Space Adventure Cobra,3.20 Mediocre,"TMS Entertainment Co., Ltd.",Manga,Adventure,~24min,TV-Series,31,1982,"Cobra is a very famous space pirate, but this fame also brings disadvantages. Thus, he decides to change his outer appearance and completely erase his memories. He starts a new life and forms a whole new identity that makes him a completely different person. Cobra is now an ordinary man with a “normal” job and a rather boring life. Though suddenly, he starts to remember his past, and the dangerous adventures begin again."
The iDOLM@STER Side M,3.17 Mediocre,A-1 Pictures Inc.,Video Game,Ganbatte,~24min,TV-Series,13,2017,
Occultic;Nine,3.08 Mediocre,A-1 Pictures Inc.,Light Novel,Thriller,~24min,TV-Series,12,2016,
A Terrified Teacher at Ghoul School!,3.07 Mediocre,Satelight Inc.,Manga,Comedy,~24min,TV-Series,24,2024,"Haruaki Abe is a shy coward with a long family tree full of powerful youkai tamers who likes to run away from difficult situations – and he has only just started his career as a teacher. Unfortunately, he didn’t realise that Hyakki Academy, where he’s now starting his job, is a place full of supernatural beings. Despite his inherited abilities, it’s hard enough for him to deal with human students without whimpering – and now he’s supposed to teach at a school full of youkai? It’s a classroom of horrors for Haruaki, as his mischievous students try everything they can to disrupt his lessons and play tricks on him! Will the poor teacher manage to get his group of monsters under control, or is this class doomed to failure?"
Cestvs: The Roman Fighter,3.12 Mediocre,BANDAI NAMCO Pictures Inc.,Manga,Drama,~23min,TV-Series,11,2021,"In the year 154, the fifteen-year-old slave Cestvs arrives at the gladiator school. In his first match, he faces his best friend and is shocked when the latter is killed before his eyes after Cestvs’s victory. From that moment on, he knows how little a slave’s life is worth. Although his owner promises him that he can gain freedom after a hundred victories, the road there is rocky and his opponents just as desperate as him. When the long shadow of Nero, the fifth Roman emperor, reaches out for him, Cestvs’s dream seems to recede into the distance …"
Samurai Warriors,3.05 Mediocre,"Yumeta Co., Ltd.",Video Game,Action,~25min,TV-Series,12,2015,"Number of wars occurred in order to make Japan a peaceful country but no warlords successfully achieved this objective, until Hideyoshi Toyotomi reigned. He created unity across Japan. But his death led to chaos. His son, Hideyori is supposed to succeed the throne but the Tokugawa clan believes that he can’t. And so, the conflict between the Toyotomi and Tokugawa clan arises, also between the two brothers in the Sanada clan, Yukimura who sided in the Toyotomi clan and Nobuyuki Sanada who joined Tokugawa. A fateful battle awaits the two."
Shadow Star Narutaru,3.04 Mediocre,Planet Entertainment Inc.,Manga,Drama,~23min,TV-Series,13,2003,"During her summer holiday at her grandparents house Tamai Shiina, a young and cheerful schoolgirl, meets a strange looking creature. They befriend each other and Shiina names it ""Hoshimaru—The Round Star"". When Shiina returns home efter the summer to go back to school she starts meeting other kids that also have befriended a strange creature like Hoshimaru. But she soon finds out that not all these creatures and their masters are as friendly as Hoshimaru."
The Devil Lady,3.06 Mediocre,"TMS Entertainment Co., Ltd.",Manga,Action Drama,~24min,TV-Series,26,1998,"The beautiful and successful supermodel Jun Fudou meets a woman named Lan Asuka, who confronts her with a werewolf monster, which she calls a devil beast. As a result, unimagined powers awaken in Jun, and she manages to defeat the monster. She, just like this werewolf, is part of the next step in human evolution: humans who can mutate into beast-like monsters and then mercilessly terrorise civilisation. Unlike the other devil beasts, however, she can retain her humanity, which is her undoing because Lan Asuka is a high-ranking employee of the government and of the “Anti-Beast Special Squad”, which wants to abuse her powers and train her to mercilessly hunt down her own species.  Caught between these extremes and her weak self, the question arises: what fate will Jun meet? Will she ever be able to decide it for herself?"
UniteUp!,3.17 Mediocre,CloverWorks Inc.,Original Work,?,~24min,TV-Series,12,2023,"High school student Akira Kiyose is a big baseball fan but had to stop due to an unfortunate incident. He goes through life gloomy … until one day, the agency sMiLea scouts him as an idol. For Akira, this comes suddenly, as he knew nothing about the fact that his best friend publishes song covers on the video streaming platform MyTube under the alias “KIKONOYU”. Together with two other MyTubers, Banri Naoe, who has made a name for himself as “Evan”, and Chihiro Isuzugawa, also known as “Suzu”, he founds the idol group Protostar. Soon, the next big step is imminent: their debut!"
Kiddy Grade,3.04 Mediocre,Gonzo K.K.,Original Work,Action,~23min,TV-Series,24,2002,"In a distant future, the universe has changed a great deal from the present day as humanity has evolved and colonised planets across the galaxy. Éclair and Lumière, two beautiful young girls with supernatural powers, are members of an elite galactic unit. Working for the Federation of Planets, they face the challenges of fighting for a peaceful future universe. After defeating the terrorists who attacked the headquarters of the galactic economic organisation GOTT, their task now is to escort Auditor Armbrust on his mission for the peaceful settlement of the economic tensions between the planets Medeia and Faunus.  But in doing so, Éclair and Lumière have to stand up to the Faunus space fleet, which is about to enforce an economic blockade against Medeia by any means necessary …"
Concrete Revolutio,3.04 Mediocre,BONES Inc.,Original Work,Action,~24min,TV-Series,13,2015,"Tokyo is flooded with countless heroes — chōjin — during the time of ""apotheosis."" Their origin stories are all different. While some were altered by evil organizations, others came from space, magical worlds, or are fairies from ancient times or robots. But the Japanese government could not simply close its eyes as these superheroes ran rampant."
Ninja Girl & Samurai Master,3.07 Mediocre,"TMS Entertainment Co., Ltd.",Manga,Action Comedy,~4min,TV-Series,26,2016,
Monochrome Factor,3.04 Mediocre,"ACGT Co., Ltd.",Manga,?,~25min,TV-Series,24,2008,"The story revolves around high school student Akira Nikaido, a typical slacker living a normal life. That is, until he meets the mysterious Shirogane, a man who suddenly appears and tells him to meet him at the school that night. Though he is skeptical, he goes anyway, and subsequently gets attacked by a shadow monster. Shirogane convinces him that the balance between the human world and the shadow world has been distorted, and that Akira must become a ""shin"", which is a creature of the shadow world, in order to help restore the balance."
Classroom for Heroes,3.04 Mediocre,Actas Inc.,Light Novel,Action Comedy,~24min,TV-Series,12,2023,"Many years have passed since a powerful demon king devastated the entire world. Dark times prevailed then, but fortunately, a hero managed to stand up to him and defeat him. To preserve the peace of the world and prevent the rise of evil in the future, the hero founded Rosewood Academy – a school to train future heroes. Earnest Flaming is a student at that school. She is one of the best in her year and has made a name for herself early on. However, her peaceful everyday life ends abruptly when the exchange student Blade arrives at her school. The young man seems carefree, cheerful and almost reckless, though he has powerful abilities and is in no way inferior to Earnest. And it is precisely this boy she now has to take care of …"
ChäoS;HEAd,3.03 Mediocre,MADHOUSE Inc.,Visual Novel,Thriller,~27min,TV-Series,12,2008,"Takumi is an anime-obsessed recluse with a fetish for two-dimensional girls. His dirty little cyber secrets land him in real-life trouble after a chat room encounter with the mysterious General leads him to the scene of a gruesome murder. In the blink of an eye, Takumi goes from a caffeine-addicted gamer to a paranoid murder suspect caught up in something called the New Generation Madness.  Between the police and a gang of girls with giant holographic swords, someone is watching his every move. As the world constructed around him begins to unravel, Takumi will discover that nothing - not even his own life - is what it appears to be. Welcome to Chaos Head. Can you survive reality?"
True Cooking Master Boy,3.10 Mediocre,"Nihon Ad Systems, Inc.",Manga,Comedy,~24min,TV-Series,12,2019,"“True Cooking Master Boy” revolves around the youngest Super Chef, Maoxing Liu, in 19th century China. Together with his friends Lao Zhi and Mei Li Zhou, he travels the country to hone his cooking skills. Furthermore, he has to protect the “legendary cooking utensils” from the Underground Cooking Society, which Mao’s mother, a legendary chef, already fought against."
Muromi-san,3.04 Mediocre,"Tatsunoko Production Co., Ltd.",Manga,Comedy,~12min,TV-Series,13,2013,"One day, Takurō was fishing at the pier as usual, when he caught the big one: A mermaid. However, contrary to her legendary appearance, she’s head-over-heels for ""Takkun"", uses a shell-phone, and is instinctively afraid of birds and seals due to their love of fish. Since the time he met Muromi, he’s met Leviathan, a yeti, a harpie, a kappa, and more. It seems his relationship with the spunky mermaid gets weirder by the day."
BBK/BRNK The Gentle Giants of the Galaxy,3.08 Mediocre,SANZIGEN Inc.,Original Work,Fighting-Shounen,~25min,TV-Series,12,2016,
Twin Spica,3.14 Mediocre,"Group Tac Co., Ltd.",Manga,Slice of Life Drama,~25min,TV-Series,20,2003,"A terrible accident happens during the first manned rocket launch by the Japanese. The rocket crashes into a small town. Many people die or are seriously injured. This includes the mother of little Asumi. A few years later, her mother dies after a long time in the hospital. After her death, Asumi meets a spirit with a lion’s head that only she can see. This spirit seems to know a lot about space. Asumi befriends this spirit and, from then on, has only one career aspiration: astronaut."
Kandagawa Jet Girls,3.04 Mediocre,"TNK Co., Ltd.",Original Work,Ganbatte,~24min,TV-Series,12,2019,"“Kandagawa Jet Girls” plunges us into a world dominated by water sports. “Jet racing” is the name of the new sport in which teams of two, consisting of a jet skier and a shooter, turn local rivers into wild racetracks. The goal, however, is not only to cross the finish line before the other team but also to shoot as many pieces of clothing off the opponents’ bodies as possible! One of the most notable athletes of this sport was Rin Namiki‘s late mother. Thus, it is not surprising that Rin, who has always admired her mother, is following in her footsteps and wants to become a jet racing professional herself. Therefore, she transferred to the Asakusa girls’ high school in Tokyo, where the Kanda River, the most famous venue for jet races, is located.  But no sooner had she arrived in Tokyo than the klutz from the countryside makes one mistake after the other … An attempted theft and several wrong turns later, she has finally made it to her new dorm, where she, much to her delight, finds out that her roommate is none other than Misa Aoi, the girl who helped her retrieve her stolen bag a few hours ago! Although the lively Rin is anything but a blessing for the quiet Misa, she can’t completely escape her charm either, and so she also can’t say “no” when Rin gets into a fight with jet racing diva Kaguya Shinjuuin and is promptly challenged to a race …  Annotation: On the 25th of September 2019, the first episode was broadcast in advance via the streaming function of YouTube and NicoNico. On Japanese television, the first episode of this show was broadcast on the 8th of October."
Soul Eater Not!,3.03 Mediocre,BONES Inc.,Manga,Action Comedy,~24min,TV-Series,12,2014,"Three freshman girls: Tsugumi Harudori, a “normal girl” in every way; Meme Tatane, an airheaded girl; and Anya Hepburn, a tsundere princess, encounter and start their new lives at Death Weapon & Meister Academy (DWMA)."
Kenka Bancho Otome: Girl Beats Boys,3.04 Mediocre,"A-Real, project No.9",Visual Novel,Action Comedy,~8min,TV-Series,12,2017,
D4DJ Petit Mix,3.35 Excellent,"DMM.futureworks Co., Ltd., W-Toon Studio",Other,Comedy,~3min,TV-Series,26,2021,
FLCL Alternative,3.06 Mediocre,"Nut Inc., Production I.G., Inc., REVOROOT Inc.",Original Work,Nonsense-Comedy,~23min,TV-Series,6,2018,"“FLCL Alternative” continues the crazy events surrounding Haruko Haruhara. In this third season of the anime, the focus is on the mishap-plagued everyday life of 17-year-old high school student Kana. Kana usually spends her days hanging out with her best friends Mossan and Hijiri and her pets, leading a rather banal life. But that is about to change all of a sudden when a giant robot falls from the sky, containing a strange woman named Haruko! Haruko, of course, already has plans for Kana and her friends, in which they come into contact with a power known as “ATOMSK”. Now Kana must decide … will she risk everything to help Haruko or not? Or does Kana actually have no choice at all in the end …?"
Umineko: When They Cry,3.03 Mediocre,"Studio DEEN Co., Ltd.",Visual Novel,Horror,~25min,TV-Series,26,2009,"The dying Kinzou Ushiromiya is the owner of the remote island of Rokkenjima and has appointed eight family members to live there. Three other relatives are already there, plus some employees and Kinzou’s personal doctor live on the estate. The visitors discuss in advance how to divide Kinzou’s extensive estate. But after the typhoon strikes and no one can leave the island, mysterious murders begin to thin the ranks of the potential heirs …"
